"","place","link","tables_present","test_tables","hospital_and_test","hospital_test_region","test_region"
"1","India","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_India",4,1,1,0,0
"2","New York (state)","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_New_York_(state)",3,0,0,0,0
"3","California","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_California",2,1,1,1,1
"4","Africa","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Africa",1,0,0,0,0
"5","Punjab, India","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Punjab,_India",3,0,0,0,0
"6","Spain","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Spain",3,1,6,1,1
"7","Oceania","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Oceania",1,0,0,0,0
"8","North America","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_North_America",1,0,0,0,0
"9","the United States","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_United_States",2,0,1,0,0
"10","Egypt","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Egypt",1,0,0,0,0
"11","Turkey","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Turkey",2,1,1,0,0
"12","the Bahamas","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Bahamas",0,0,0,0,0
"13","the United States Virgin Islands","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_United_States_Virgin_Islands",0,0,0,0,0
"14","Belarus","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Belarus",0,0,0,0,0
"15","Uttar Pradesh","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Uttar_Pradesh",2,1,1,1,1
"16","Cuba","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Cuba",0,0,0,0,0
"17","Northern Cyprus","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Northern_Cyprus",0,0,0,0,0
"18","Finland","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Finland",1,0,1,0,0
"19","Texas","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Texas",1,0,0,0,0
"20","Europe","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Europe",0,0,0,0,0
"21","Ukraine","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Ukraine",2,1,1,0,0
"22","Vatican City","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Vatican_City",0,0,0,0,0
"23","South Carolina","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_South_Carolina",2,2,2,1,1
"24","the Republic of Artsakh","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Republic_of_Artsakh",0,0,0,0,0
"25","Cyprus","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Cyprus",0,0,0,0,0
"26","North Korea","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_North_Korea",0,0,0,0,0
"27","Italy","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Italy",0,0,0,0,0
"28","Canada","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Canada",0,0,0,0,0
"29","Greenland","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Greenland",0,0,0,0,0
"30","New York City","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_New_York_City",1,0,1,0,0
"31","Morocco","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Morocco",1,1,1,1,1
"32","Guatemala","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Guatemala",0,0,0,0,0
"33","Liberia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Liberia",0,0,0,0,0
"34","Gujarat","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Gujarat",1,0,0,0,0
"35","Somalia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Somalia",0,0,0,0,0
"36","Bhutan","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Bhutan",1,1,1,0,0
"37","Georgia (country)","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Georgia_(country)",0,0,0,0,0
"38","Portugal","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Portugal",2,0,2,0,0
"39","Maharashtra","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Maharashtra",2,1,1,0,0
"40","Nevada","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Nevada",0,0,0,0,0
"41","Bermuda","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Bermuda",0,0,0,0,0
"42","Akrotiri and Dhekelia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Akrotiri_and_Dhekelia",0,0,0,0,0
"43","the Cayman Islands","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Cayman_Islands",0,0,0,0,0
"44","Ecuador","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Ecuador",1,0,0,0,0
"45","Namibia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Namibia",0,0,0,0,0
"46","Guadeloupe","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Guadeloupe",0,0,0,0,0
"47","West Bengal","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_West_Bengal",1,0,0,0,0
"48","the Dominican Republic","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Dominican_Republic",1,0,0,0,0
"49","Antarctica","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Antarctica",0,0,0,0,0
"50","Haiti","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Haiti",0,0,0,0,0
"51","Karnataka","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Karnataka",5,1,2,0,0
"52","Israel","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Israel",2,0,1,0,0
