"","Date","Total Confirmed New","Total Confirmed Cml","Total Deaths New","Total Deaths Cml","Total Recovered New","Total Recovered Cml","Province","No. of confirmed cases"
"1",2020-02-26,"2","2","","","","","Punjab",""
"2",2020-02-26,"2","2","","","","","Sindh","2"
"3",2020-02-26,"2","2","","","","","Khyber Pakhtunkhwa",""
"4",2020-02-26,"2","2","","","","","Balochistan",""
"5",2020-02-26,"2","2","","","","","Gilgit-Baltistan",""
"6",2020-02-26,"2","2","","","","","Azad Kashmir",""
"7",2020-02-26,"2","2","","","","","Islamabad",""
"8",2020-02-27,"0","2","","","","","Punjab",""
"9",2020-02-27,"0","2","","","","","Sindh",""
"10",2020-02-27,"0","2","","","","","Khyber Pakhtunkhwa",""
"11",2020-02-27,"0","2","","","","","Balochistan",""
"12",2020-02-27,"0","2","","","","","Gilgit-Baltistan",""
"13",2020-02-27,"0","2","","","","","Azad Kashmir",""
"14",2020-02-27,"0","2","","","","","Islamabad",""
"15",2020-02-28,"0","2","","","","","Punjab",""
"16",2020-02-28,"0","2","","","","","Sindh",""
"17",2020-02-28,"0","2","","","","","Khyber Pakhtunkhwa",""
"18",2020-02-28,"0","2","","","","","Balochistan",""
"19",2020-02-28,"0","2","","","","","Gilgit-Baltistan",""
"20",2020-02-28,"0","2","","","","","Azad Kashmir",""
"21",2020-02-28,"0","2","","","","","Islamabad",""
"22",2020-02-29,"2","4","","","","","Punjab",""
"23",2020-02-29,"2","4","","","","","Sindh","4"
"24",2020-02-29,"2","4","","","","","Khyber Pakhtunkhwa",""
"25",2020-02-29,"2","4","","","","","Balochistan",""
"26",2020-02-29,"2","4","","","","","Gilgit-Baltistan",""
"27",2020-02-29,"2","4","","","","","Azad Kashmir",""
"28",2020-02-29,"2","4","","","","","Islamabad",""
"29",2020-03-01,"0","4","","","","","Punjab",""
"30",2020-03-01,"0","4","","","","","Sindh",""
"31",2020-03-01,"0","4","","","","","Khyber Pakhtunkhwa",""
"32",2020-03-01,"0","4","","","","","Balochistan",""
"33",2020-03-01,"0","4","","","","","Gilgit-Baltistan",""
"34",2020-03-01,"0","4","","","","","Azad Kashmir",""
"35",2020-03-01,"0","4","","","","","Islamabad",""
"36",2020-03-02,"0","4","","","","","Punjab",""
"37",2020-03-02,"0","4","","","","","Sindh",""
"38",2020-03-02,"0","4","","","","","Khyber Pakhtunkhwa",""
"39",2020-03-02,"0","4","","","","","Balochistan",""
"40",2020-03-02,"0","4","","","","","Gilgit-Baltistan",""
"41",2020-03-02,"0","4","","","","","Azad Kashmir",""
"42",2020-03-02,"0","4","","","","","Islamabad",""
"43",2020-03-03,"1","5","","","","","Punjab",""
"44",2020-03-03,"1","5","","","","","Sindh",""
"45",2020-03-03,"1","5","","","","","Khyber Pakhtunkhwa",""
"46",2020-03-03,"1","5","","","","","Balochistan",""
"47",2020-03-03,"1","5","","","","","Gilgit-Baltistan","1"
"48",2020-03-03,"1","5","","","","","Azad Kashmir",""
"49",2020-03-03,"1","5","","","","","Islamabad",""
"50",2020-03-04,"0","5","","","","","Punjab",""
"51",2020-03-04,"0","5","","","","","Sindh",""
"52",2020-03-04,"0","5","","","","","Khyber Pakhtunkhwa",""
"53",2020-03-04,"0","5","","","","","Balochistan",""
"54",2020-03-04,"0","5","","","","","Gilgit-Baltistan",""
"55",2020-03-04,"0","5","","","","","Azad Kashmir",""
"56",2020-03-04,"0","5","","","","","Islamabad",""
"57",2020-03-05,"1","6","","","","","Punjab",""
"58",2020-03-05,"1","6","","","","","Sindh","5"
"59",2020-03-05,"1","6","","","","","Khyber Pakhtunkhwa",""
"60",2020-03-05,"1","6","","","","","Balochistan",""
"61",2020-03-05,"1","6","","","","","Gilgit-Baltistan",""
"62",2020-03-05,"1","6","","","","","Azad Kashmir",""
"63",2020-03-05,"1","6","","","","","Islamabad",""
"64",2020-03-06,"0","6","","","1","1","Punjab",""
"65",2020-03-06,"0","6","","","1","1","Sindh",""
"66",2020-03-06,"0","6","","","1","1","Khyber Pakhtunkhwa",""
"67",2020-03-06,"0","6","","","1","1","Balochistan",""
"68",2020-03-06,"0","6","","","1","1","Gilgit-Baltistan",""
"69",2020-03-06,"0","6","","","1","1","Azad Kashmir",""
"70",2020-03-06,"0","6","","","1","1","Islamabad",""
"71",2020-03-07,"0","6","","","0","1","Punjab",""
"72",2020-03-07,"0","6","","","0","1","Sindh",""
"73",2020-03-07,"0","6","","","0","1","Khyber Pakhtunkhwa",""
"74",2020-03-07,"0","6","","","0","1","Balochistan",""
"75",2020-03-07,"0","6","","","0","1","Gilgit-Baltistan",""
"76",2020-03-07,"0","6","","","0","1","Azad Kashmir",""
"77",2020-03-07,"0","6","","","0","1","Islamabad",""
"78",2020-03-08,"1","7","","","0","1","Punjab",""
"79",2020-03-08,"1","7","","","0","1","Sindh","6"
"80",2020-03-08,"1","7","","","0","1","Khyber Pakhtunkhwa",""
"81",2020-03-08,"1","7","","","0","1","Balochistan",""
"82",2020-03-08,"1","7","","","0","1","Gilgit-Baltistan",""
"83",2020-03-08,"1","7","","","0","1","Azad Kashmir",""
"84",2020-03-08,"1","7","","","0","1","Islamabad",""
