"","federal_subject","cases","recov","deaths","active","edit_date"
"1","Moscow",262,9,0,252,"23:59 23 March 2020"
"2","Moscow Oblast",35,1,0,34,"23:59 23 March 2020"
"3","Saint Petersburg",16,2,0,14,"23:59 23 March 2020"
"4","Samara Oblast",9,0,0,9,"23:59 23 March 2020"
"5","Sverdlovsk Oblast",9,0,0,9,"23:59 23 March 2020"
"6","Yakutia",7,0,0,7,"23:59 23 March 2020"
"7","Kaliningrad Oblast",7,0,0,7,"23:59 23 March 2020"
"8","Kirov Oblast",7,0,0,7,"23:59 23 March 2020"
"9","Nizhny Novgorod Oblast",7,0,0,7,"23:59 23 March 2020"
"10","Tatarstan",6,0,0,6,"23:59 23 March 2020"
"11","Krasnodar Krai",5,0,0,5,"23:59 23 March 2020"
"12","Krasnoyarsk Krai",5,0,0,5,"23:59 23 March 2020"
"13","Tula Oblast",5,0,0,5,"23:59 23 March 2020"
"14","Khabarovsk Krai",4,0,0,4,"23:59 23 March 2020"
"15","Novosibirsk Oblast",4,0,0,4,"23:59 23 March 2020"
"16","Perm Krai",3,0,0,3,"23:59 23 March 2020"
"17","Tambov Oblast",3,0,0,3,"23:59 23 March 2020"
"18","Tver Oblast",3,0,0,3,"23:59 23 March 2020"
"19","Tyumen Oblast",3,1,0,2,"23:59 23 March 2020"
"20","Lipetsk Oblast",3,3,0,0,"23:59 23 March 2020"
"21","Kabardino-Balkaria",2,0,0,2,"23:59 23 March 2020"
"22","Udmurtia",2,0,0,2,"23:59 23 March 2020"
"23","Arkhangelsk Oblast",2,0,0,2,"23:59 23 March 2020"
"24","Kemerovo Oblast",2,0,0,2,"23:59 23 March 2020"
"25","Ryazan Oblast",2,0,0,2,"23:59 23 March 2020"
"26","Voronezh Oblast",2,0,0,2,"23:59 23 March 2020"
"27","Khanty-Mansi Autonomous Okrug",2,0,0,2,"23:59 23 March 2020"
"28","Chuvashia",1,0,0,1,"23:59 23 March 2020"
"29","Republic of Crimea",1,0,0,1,"23:59 23 March 2020"
"30","Khakassia",1,0,0,1,"23:59 23 March 2020"
"31","Komi Republic",1,0,0,1,"23:59 23 March 2020"
"32","Stavropol Krai",1,0,0,1,"23:59 23 March 2020"
"33","Belgorod Oblast",1,0,0,1,"23:59 23 March 2020"
"34","Bryansk Oblast",1,0,0,1,"23:59 23 March 2020"
"35","Chelyabinsk Oblast",1,0,0,1,"23:59 23 March 2020"
"36","Ivanovo Oblast",1,0,0,1,"23:59 23 March 2020"
"37","Kaluga Oblast",1,0,0,1,"23:59 23 March 2020"
"38","Kurgan Oblast",1,0,0,1,"23:59 23 March 2020"
"39","Leningrad Oblast",1,0,0,1,"23:59 23 March 2020"
"40","Murmansk Oblast",1,0,0,1,"23:59 23 March 2020"
"41","Novgorod Oblast",1,0,0,1,"23:59 23 March 2020"
"42","Orenburg Oblast",1,0,0,1,"23:59 23 March 2020"
"43","Penza Oblast",1,0,0,1,"23:59 23 March 2020"
"44","Saratov Oblast",1,0,0,1,"23:59 23 March 2020"
"45","Tomsk Oblast",1,0,0,1,"23:59 23 March 2020"
"46","Ulyanovsk Oblast",1,0,0,1,"23:59 23 March 2020"
"47","Yaroslavl Oblast",1,0,0,1,"23:59 23 March 2020"
"48","Zabaykalsky Krai",1,1,0,0,"23:59 23 March 2020"
"49","Moscow",290,9,0,280,"16:23 24 March 2020"
"50","Moscow Oblast",35,2,0,33,"16:23 24 March 2020"
"51","Saint Petersburg",21,2,0,19,"16:23 24 March 2020"
"52","Sverdlovsk Oblast",13,0,0,13,"16:23 24 March 2020"
"53","Samara Oblast",10,0,0,10,"16:23 24 March 2020"
"54","Tatarstan",7,0,0,7,"16:23 24 March 2020"
"55","Yakutia",7,0,0,7,"16:23 24 March 2020"
