"","city_province","number_of_cases","notes","edit_date","discharged","deaths"
"1","Binh Thuan",4,NA,"20:55, 11 March 2020",NA,NA
"2","Da Nang",3,NA,"20:55, 11 March 2020",NA,NA
"3","Hanoi",5,NA,"20:55, 11 March 2020",NA,NA
"4","Ho Chi Minh City",4,NA,"20:55, 11 March 2020",NA,NA
"5","Quang Nam",2,NA,"20:55, 11 March 2020",NA,NA
"6","Quang Ninh",4,NA,"20:55, 11 March 2020",NA,NA
"7","Khanh Hoa",1,NA,"20:55, 11 March 2020",NA,NA
"8","Lao Cai",2,NA,"20:55, 11 March 2020",NA,NA
"9","Ninh Binh",1,NA,"20:55, 11 March 2020",NA,NA
"10","Thanh Hoa",1,NA,"20:55, 11 March 2020",NA,NA
"11","Thua Thien Hue",1,NA,"20:55, 11 March 2020",NA,NA
"12","Vinh Phuc",11,NA,"20:55, 11 March 2020",NA,NA
"13","12 cities and provinces",39,NA,"20:55, 11 March 2020",NA,NA
"14","Binh Thuan",9,NA,"23:19, 12 March 2020",NA,NA
"15","Da Nang",3,NA,"23:19, 12 March 2020",NA,NA
"16","Hanoi",5,NA,"23:19, 12 March 2020",NA,NA
"17","Ho Chi Minh City",4,NA,"23:19, 12 March 2020",NA,NA
"18","Quang Nam",2,NA,"23:19, 12 March 2020",NA,NA
"19","Quang Ninh",4,NA,"23:19, 12 March 2020",NA,NA
"20","Khanh Hoa",1,NA,"23:19, 12 March 2020",NA,NA
"21","Lao Cai",2,NA,"23:19, 12 March 2020",NA,NA
"22","Ninh Binh",1,NA,"23:19, 12 March 2020",NA,NA
"23","Thanh Hoa",1,NA,"23:19, 12 March 2020",NA,NA
"24","Thua Thien Hue",1,NA,"23:19, 12 March 2020",NA,NA
"25","Vinh Phuc",11,NA,"23:19, 12 March 2020",NA,NA
"26","12 cities and provinces",44,NA,"23:19, 12 March 2020",NA,NA
"27","Binh Thuan",9,NA,"13:02, 13 March 2020",NA,NA
"28","Da Nang",3,NA,"13:02, 13 March 2020",NA,NA
"29","Hanoi",7,NA,"13:02, 13 March 2020",NA,NA
"30","Ho Chi Minh City",5,NA,"13:02, 13 March 2020",NA,NA
"31","Quang Nam",2,NA,"13:02, 13 March 2020",NA,NA
"32","Quang Ninh",4,NA,"13:02, 13 March 2020",NA,NA
"33","Khanh Hoa",1,NA,"13:02, 13 March 2020",NA,NA
"34","Lao Cai",2,NA,"13:02, 13 March 2020",NA,NA
"35","Ninh Binh",1,NA,"13:02, 13 March 2020",NA,NA
"36","Thanh Hoa",1,NA,"13:02, 13 March 2020",NA,NA
"37","Thua Thien Hue",1,NA,"13:02, 13 March 2020",NA,NA
"38","Vinh Phuc",11,NA,"13:02, 13 March 2020",NA,NA
"39","12 cities and provinces",47,NA,"13:02, 13 March 2020",NA,NA
"40","Binh Thuan",9,NA,"23:27, 14 March 2020",NA,NA
"41","Da Nang",3,NA,"23:27, 14 March 2020",NA,NA
"42","Hanoi",9,NA,"23:27, 14 March 2020",NA,NA
"43","Ho Chi Minh City",7,NA,"23:27, 14 March 2020",NA,NA
"44","Quang Nam",2,NA,"23:27, 14 March 2020",NA,NA
"45","Quang Ninh",5,NA,"23:27, 14 March 2020",NA,NA
"46","Khanh Hoa",1,NA,"23:27, 14 March 2020",NA,NA
"47","Lao Cai",2,NA,"23:27, 14 March 2020",NA,NA
"48","Ninh Binh",1,NA,"23:27, 14 March 2020",NA,NA
"49","Thanh Hoa",1,NA,"23:27, 14 March 2020",NA,NA
"50","Thua Thien Hue",2,NA,"23:27, 14 March 2020",NA,NA
"51","Vinh Phuc",11,NA,"23:27, 14 March 2020",NA,NA
"52","12 cities and provinces",53,NA,"23:27, 14 March 2020",NA,NA
"53","Binh Thuan",9,NA,"17:57, 15 March 2020",NA,NA
"54","Da Nang",3,NA,"17:57, 15 March 2020",NA,NA
"55","Hanoi",11,NA,"17:57, 15 March 2020",NA,NA
"56","Ho Chi Minh City",8,NA,"17:57, 15 March 2020",NA,NA
"57","Quang Nam",3,NA,"17:57, 15 March 2020",NA,NA
"58","Quang Ninh",5,NA,"17:57, 15 March 2020",NA,NA
"59","Khanh Hoa",1,NA,"17:57, 15 March 2020",NA,NA
"60","Lao Cai",2,NA,"17:57, 15 March 2020",NA,NA
"61","Ninh Binh",1,NA,"17:57, 15 March 2020",NA,NA
"62","Thanh Hoa",1,NA,"17:57, 15 March 2020",NA,NA
"63","Thua Thien Hue",2,NA,"17:57, 15 March 2020",NA,NA
"64","Vinh Phuc",11,NA,"17:57, 15 March 2020",NA,NA
"65","12 cities and provinces",57,NA,"17:57, 15 March 2020",NA,NA
"66","Binh Thuan",9,NA,"14:23, 16 March 2020",NA,NA
"67","Da Nang",3,NA,"14:23, 16 March 2020",NA,NA
"68","Hanoi",14,NA,"14:23, 16 March 2020",NA,NA
"69","Ho Chi Minh City",8,NA,"14:23, 16 March 2020",NA,NA
"70","Quang Nam",3,NA,"14:23, 16 March 2020",NA,NA
"71","Quang Ninh",5,NA,"14:23, 16 March 2020",NA,NA
"72","Khanh Hoa",1,NA,"14:23, 16 March 2020",NA,NA
"73","Lao Cai",2,NA,"14:23, 16 March 2020",NA,NA
"74","Ninh Binh",1,NA,"14:23, 16 March 2020",NA,NA
"75","Ninh Thuan",1,NA,"14:23, 16 March 2020",NA,NA
"76","Thanh Hoa",1,NA,"14:23, 16 March 2020",NA,NA
"77","Thua Thien Hue",2,NA,"14:23, 16 March 2020",NA,NA
"78","Vinh Phuc",11,NA,"14:23, 16 March 2020",NA,NA
"79","13 cities and provinces",61,NA,"14:23, 16 March 2020",NA,NA
"80","Binh Thuan",9,NA,"13:37, 17 March 2020",NA,NA
"81","Da Nang",3,NA,"13:37, 17 March 2020",NA,NA
"82","Hanoi",17,NA,"13:37, 17 March 2020",NA,NA
"83","Ho Chi Minh City",14,NA,"13:37, 17 March 2020",NA,NA
"84","Quang Nam",3,NA,"13:37, 17 March 2020",NA,NA
"85","Quang Ninh",6,NA,"13:37, 17 March 2020",NA,NA
"86","Khanh Hoa",1,NA,"13:37, 17 March 2020",NA,NA
"87","Lao Cai",2,NA,"13:37, 17 March 2020",NA,NA
"88","Ninh Binh",1,NA,"13:37, 17 March 2020",NA,NA
"89","Ninh Thuan",1,NA,"13:37, 17 March 2020",NA,NA
"90","Thanh Hoa",1,NA,"13:37, 17 March 2020",NA,NA
"91","Thua Thien Hue",2,NA,"13:37, 17 March 2020",NA,NA
"92","Vinh Phuc",11,NA,"13:37, 17 March 2020",NA,NA
"93","13 cities and provinces",66,NA,"13:37, 17 March 2020",NA,NA
"94","Bac Ninh",1,NA,"15:39, 18 March 2020",NA,NA
"95","Binh Thuan",9,NA,"15:39, 18 March 2020",NA,NA
"96","Da Nang",4,NA,"15:39, 18 March 2020",NA,NA
"97","Hai Duong",1,NA,"15:39, 18 March 2020",NA,NA
"98","Hanoi",22,NA,"15:39, 18 March 2020",NA,NA
"99","Ho Chi Minh City",15,NA,"15:39, 18 March 2020",NA,NA
"100","Quang Nam",3,NA,"15:39, 18 March 2020",NA,NA
"101","Quang Ninh",6,NA,"15:39, 18 March 2020",NA,NA
"102","Khanh Hoa",1,NA,"15:39, 18 March 2020",NA,NA
"103","Lao Cai",2,NA,"15:39, 18 March 2020",NA,NA
"104","Ninh Binh",1,NA,"15:39, 18 March 2020",NA,NA
"105","Ninh Thuan",2,NA,"15:39, 18 March 2020",NA,NA
"106","Thanh Hoa",1,NA,"15:39, 18 March 2020",NA,NA
"107","Thua Thien Hue",2,NA,"15:39, 18 March 2020",NA,NA
"108","Vinh Phuc",11,NA,"15:39, 18 March 2020",NA,NA
"109","15 cities and provinces",76,NA,"15:39, 18 March 2020",NA,NA
"110","Bac Ninh",1,NA,"23:57, 19 March 2020",NA,NA
"111","Binh Thuan",9,NA,"23:57, 19 March 2020",NA,NA
"112","Da Nang",4,NA,"23:57, 19 March 2020",NA,NA
"113","Hai Duong",1,NA,"23:57, 19 March 2020",NA,NA
"114","Hanoi",24,NA,"23:57, 19 March 2020",NA,NA
"115","Ho Chi Minh City",17,NA,"23:57, 19 March 2020",NA,NA
"116","Quang Nam",3,NA,"23:57, 19 March 2020",NA,NA
"117","Quang Ninh",6,NA,"23:57, 19 March 2020",NA,NA
"118","Khanh Hoa",1,NA,"23:57, 19 March 2020",NA,NA
"119","Lao Cai",2,NA,"23:57, 19 March 2020",NA,NA
"120","Ninh Binh",1,NA,"23:57, 19 March 2020",NA,NA
"121","Ninh Thuan",2,NA,"23:57, 19 March 2020",NA,NA
"122","Thanh Hoa",1,NA,"23:57, 19 March 2020",NA,NA
"123","Thua Thien Hue",2,NA,"23:57, 19 March 2020",NA,NA
"124","Vinh Phuc",11,NA,"23:57, 19 March 2020",NA,NA
"125","15 cities and provinces",85,NA,"23:57, 19 March 2020",NA,NA
"126","Bac Ninh",1,NA,"19:31, 20 March 2020",0,NA
"127","Binh Thuan",9,NA,"19:31, 20 March 2020",0,NA
"128","Da Nang",4,NA,"19:31, 20 March 2020",0,NA
"129","Hai Duong",1,NA,"19:31, 20 March 2020",0,NA
"130","Hanoi",27,NA,"19:31, 20 March 2020",0,NA
"131","Ho Chi Minh City",20,NA,"19:31, 20 March 2020",3,NA
"132","Quang Nam",3,NA,"19:31, 20 March 2020",0,NA
"133","Quang Ninh",6,NA,"19:31, 20 March 2020",0,NA
"134","Khanh Hoa",1,NA,"19:31, 20 March 2020",1,NA
"135","Lao Cai",2,NA,"19:31, 20 March 2020",0,NA
"136","Ninh Binh",1,NA,"19:31, 20 March 2020",1,NA
"137","Ninh Thuan",2,NA,"19:31, 20 March 2020",0,NA
"138","Thanh Hoa",1,NA,"19:31, 20 March 2020",1,NA
"139","Thua Thien Hue",2,NA,"19:31, 20 March 2020",0,NA
